날짜,실제관중,예측관중,오차,하한95,상한95
2025-08-24,20737,28573,-7836,17290,30860
2025-08-24,11582,12961,-1379,4222,17725
2025-08-24,6317,10635,-4318,1784,15605
2025-08-30,23294,34503,-11209,15415,29129
2025-08-30,7324,13443,-6119,4700,18237
2025-08-30,6967,7550,-583,0,13087
2025-08-31,20027,41716,-21689,19939,33607
2025-08-31,8505,8043,461,0,13646
2025-08-31,6534,14999,-8465,5680,18876
2025-09-13,7572,7555,16,0,13313
2025-09-13,14166,20247,-6081,6545,19800
2025-09-13,22588,18523,4064,8771,22187
2025-09-14,3354,4818,-1464,0,10665
2025-09-14,7412,7037,374,1060,13855
2025-09-14,3872,3600,272,0,8011
2025-09-20,17212,31807,-14595,10885,24822
2025-09-20,21045,14646,6398,5469,18568
2025-09-21,13201,21636,-8435,11311,24818
2025-09-21,4005,7479,-3474,502,13896
2025-09-21,15221,27689,-12468,15931,29987
2025-09-21,9014,10492,-1478,2439,15921
2025-09-27,7112,11374,-4262,2654,16660
2025-09-27,3634,6968,-3334,0,12209
2025-09-27,10601,15408,-4807,5864,19482
2025-09-27,31348,44381,-13033,21151,35543
2025-09-28,5142,7137,-1995,598,13954
2025-09-28,7435,11424,-3989,2723,16830
2025-10-03,6102,8790,-2688,448,13975
2025-10-04,6731,16969,-10238,4208,17390
2025-10-05,4239,5275,-1036,0,11344
2025-10-05,11821,13793,-1972,5058,17753
2025-10-05,8464,8505,-41,1757,15162
2025-10-05,7304,16340,-9036,3830,16845
2025-10-18,10294,19596,-9302,9044,23261
2025-10-18,23672,27949,-4277,16529,30771
2025-10-18,10425,14473,-4048,5577,18592
2025-10-18,21899,29837,-7938,12473,26158
2025-10-18,10795,12403,-1608,3310,17446
2025-10-18,7178,8412,-1234,1543,15147
2025-10-25,8498,28664,-20166,8453,22273
2025-10-25,2228,5799,-3571,0,12009
2025-10-25,2510,4657,-2147,0,11480
2025-10-26,10858,20151,-9293,9859,23826
2025-10-26,12177,26845,-14668,15464,29650
2025-10-26,8275,15060,-6785,5727,19379
2025-11-01,6424,11149,-4725,2311,16224
2025-11-01,9353,17430,-8077,7148,21872
2025-11-01,2147,5867,-3720,0,11938
2025-11-01,8206,11583,-3377,2863,16320
2025-11-02,2485,6719,-4234,0,12654
2025-11-02,3865,6490,-2625,0,11756
2025-11-08,4161,7388,-3227,957,14192
2025-11-08,9372,25013,-15641,9310,22913
2025-11-08,1405,4421,-3016,0,11183
2025-11-08,23160,31661,-8501,10565,24710
2025-11-09,10493,12649,-2156,3786,18093
2025-11-09,10187,21172,-10985,11311,24599
2025-11-22,9102,16868,-7766,6991,21189
2025-11-22,13247,29912,-16665,17942,31503
2025-11-22,10572,13797,-3225,4855,17861
2025-11-22,4033,7041,-3008,0,12644
2025-11-22,7835,17364,-9529,6376,20016
2025-11-23,9246,7867,1378,3,13462
2025-11-30,12092,13854,-1762,4238,18591
2025-11-30,6064,6947,-883,0,12384
2025-11-30,11928,21201,-9273,10960,24642
2025-11-30,21742,33066,-11324,13914,28096
2025-11-30,2804,5750,-2946,0,11238
2025-11-30,6524,10415,-3891,2007,15166
2025-12-03,18715,14118,4596,0,13070
2025-12-05,4353,8823,-4470,0,11374
2025-12-07,18912,10587,8324,2235,15887
2025-12-08,4180,6740,-2560,0,13650
